Product(original_price=89.0, new_price=28.0, offer_percentage=0, item_name='LP40 TWS Wireless Earphone Bluetooth 5.0 Dual Stereo Bass Touch Control IP54 Life Waterproof', item_link='https://minutes.noon.com/saudi-en/now-product/ZD1139849798BAE9565E1Z-1')
Product(original_price=44.9, new_price=22.45, offer_percentage=0, item_name='Body Mist Cotton Candy', item_link='https://minutes.noon.com/saudi-en/now-product/Z7DE5EAD485C5C6963FDBZ-1')
Product(original_price=79.0, new_price=21.9, offer_percentage=0, item_name='Digital Food Weighing Scale With Timer', item_link='https://minutes.noon.com/saudi-en/now-product/ZCE179E686ED5D2549E6EZ-1')
Product(original_price=37.0, new_price=19.75, offer_percentage=0, item_name='Musk Concentrate Spray EDC', item_link='https://minutes.noon.com/saudi-en/now-product/Z19035DC4F28C2E819CADZ-1')
Product(original_price=57.0, new_price=21.35, offer_percentage=0, item_name='Stainless Steel Insulated Thermal Coffee Cup', item_link='https://minutes.noon.com/saudi-en/now-product/ZE033CDB2E514E67F16F9Z-1')
Product(original_price=33.0, new_price=14.95, offer_percentage=0, item_name='Precise Brow Definer Eyebrow Pen', item_link='https://minutes.noon.com/saudi-en/now-product/Z14A3D108037EE3C1C3FDZ-1')
Product(original_price=39.0, new_price=16.0, offer_percentage=0, item_name='LED USB Rechargeable Eye-Protection Metal Material Desk Lamp  white lighting 12x10x40 cm', item_link='https://minutes.noon.com/saudi-en/now-product/ZFB4A2F97E16DDEB5EB7BZ-1')
Product(original_price=12.0, new_price=7.0, offer_percentage=0, item_name='60 Seconds Super Shine', item_link='https://minutes.noon.com/saudi-en/now-product/ZD799AD2F78D3A67830D1Z-1')
Product(original_price=205.0, new_price=90.0, offer_percentage=0, item_name='3-In-1 Hair Styler', item_link='https://minutes.noon.com/saudi-en/now-product/Z6080753F7252ACE7063AZ-1')
Product(original_price=259.0, new_price=80.0, offer_percentage=0, item_name='Water Flosser For Teeth Cordless 300Ml Portable Oral Irrigator Flosser 5 Cleaning Modes And 6 Jet Tips, Ipx7 Waterproof -', item_link='https://minutes.noon.com/saudi-en/now-product/ZE79263015F1D0806D8F6Z-1')
Product(original_price=69.0, new_price=39.0, offer_percentage=0, item_name='Powerline II Charging Cable (3ft) MFi Certified for Apple iPhone 11/11 Pro/11 Pro Max/Xs/XS Max/XR/X/8/8 Plus/7/7 Plus/6/6 Plus', item_link='https://minutes.noon.com/saudi-en/now-product/Z65B1F88C16CA1D513A69Z-1')
Product(original_price=169.0, new_price=54.0, offer_percentage=0, item_name='JR-T03S Pro TWS In-Ear Earphones Wireless Earbuds With Replacement Eartips Standard Version', item_link='https://minutes.noon.com/saudi-en/now-product/ZBD8A43C05534C962ABBCZ-1')
Product(original_price=66.0, new_price=37.65, offer_percentage=0, item_name='Set Of 2 Fast Flow Anti Colic Classic Plus Teats 4 Hole For 6 Months + Baby - Clear, Scf634, 27', item_link='https://minutes.noon.com/saudi-en/now-product/ZE05DD06B04E27D128752Z-1')
Product(original_price=95.0, new_price=36.0, offer_percentage=0, item_name='Lamsat Harir', item_link='https://minutes.noon.com/saudi-en/now-product/Z1D7C950DAA180EF32F24Z-1')
Product(original_price=65.5, new_price=33.0, offer_percentage=0, item_name='Micellar Cleansing Water For Sensitive Skin', item_link='https://minutes.noon.com/saudi-en/now-product/Z4EA49E5A4DE7759A1BCEZ-1')
Product(original_price=62.9, new_price=31.9, offer_percentage=0, item_name="L'Oréal Paris Hydra Genius Aloe Water 72H Liquid Moisturizer Normal to Combination skin", item_link='https://minutes.noon.com/saudi-en/now-product/ZD8254F9E569357625DABZ-1')
Product(original_price=147.2, new_price=69.0, offer_percentage=0, item_name='3-Piece Professional Hair Dryer Set ,1800W', item_link='https://minutes.noon.com/saudi-en/now-product/ZA36DB26792FE7CFA0B5AZ-1')
Product(original_price=135.0, new_price=72.75, offer_percentage=0, item_name='Piano Activity Gym Play Mat', item_link='https://minutes.noon.com/saudi-en/now-product/Z33733AC1903B455282E8Z-1')
Product(original_price=41.0, new_price=24.1, offer_percentage=0, item_name='Smoothing Hair food Coconut  and Macademia 3-In-1 Ultra doux   Mask', item_link='https://minutes.noon.com/saudi-en/now-product/ZC6F673967BD5A5BF18D2Z-1')
Product(original_price=34.0, new_price=19.85, offer_percentage=0, item_name='Make-Up Fixer Spray Packaging May Vary', item_link='https://minutes.noon.com/saudi-en/now-product/ZB33AF9B6482B5D247131Z-1')
Product(original_price=55.0, new_price=11.0, offer_percentage=0, item_name='Miracle Complexion Sponge', item_link='https://minutes.noon.com/saudi-en/now-product/Z7AC4EC8514F81050739EZ-1')
Product(original_price=39.85, new_price=18.4, offer_percentage=0, item_name='Maybelline New York Colossal Kajal Argan Oil Eyeliner', item_link='https://minutes.noon.com/saudi-en/now-product/ZC5D70A59AA0B2222A2F9Z-1')
Product(original_price=140.35, new_price=17.9, offer_percentage=0, item_name='Stainless Steel Coffee Insulated Thermal Cup 380ml', item_link='https://minutes.noon.com/saudi-en/now-product/ZF9E272103037BA9BE8AAZ-1')
Product(original_price=201.45, new_price=19.0, offer_percentage=0, item_name='20-Pieces Household Magic Cleaner Sponge  Set', item_link='https://minutes.noon.com/saudi-en/now-product/Z5492FDD0807D37DA3B17Z-1')
Product(original_price=65.0, new_price=15.0, offer_percentage=0, item_name='Expert Concealer Brush', item_link='https://minutes.noon.com/saudi-en/now-product/ZDBAF76F5ACECA205A7FBZ-1')
Product(original_price=24.0, new_price=14.4, offer_percentage=0, item_name='Soft Kohl Eyeliner Pencil 1.2 g', item_link='https://minutes.noon.com/saudi-en/now-product/Z7A841CD17BA98DAEE937Z-1')
Product(original_price=16.8, new_price=9.25, offer_percentage=0, item_name='Tomato Ketchup Regular Plastic', item_link='https://minutes.noon.com/saudi-en/now-product/Z5DC1CFF44236684D1A6AZ-1')
Product(original_price=30.0, new_price=10.95, offer_percentage=0, item_name='Nail Glue 10g', item_link='https://minutes.noon.com/saudi-en/now-product/Z953159E377FBD067B69BZ-1')
Product(original_price=236.0, new_price=129.0, offer_percentage=0, item_name='Tune 520Bt Wireless On Ear Headphones Pure Bass Sound 57H Battery Hands Free Call Plus Voice Aware Multi Point Connection Lightweight And Foldable', item_link='https://minutes.noon.com/saudi-en/now-product/ZE0C85A4DE008C2BF9E63Z-1')
Product(original_price=3799.0, new_price=1978.25, offer_percentage=0, item_name='iPhone 13 128GB Midnight 5G With FaceTime - KSA Version', item_link='https://minutes.noon.com/saudi-en/now-product/ZA7E8EE423A6B8638B9DAZ-1')
Product(original_price=236.0, new_price=129.0, offer_percentage=0, item_name='Tune 520Bt Wireless On-Ear Headphones, Pure Bass Sound, 57H Battery With Speed Charge, Hands-Free Call + Voice Aware, Multi-Point Connection, Lightweight And Foldable', item_link='https://minutes.noon.com/saudi-en/now-product/Z8DD8B30165353958D168Z-1')
Product(original_price=319.0, new_price=102.7, offer_percentage=0, item_name='Evoke EDP', item_link='https://minutes.noon.com/saudi-en/now-product/Z3C3356A20EEAF998404FZ-1')
Product(original_price=40.0, new_price=24.0, offer_percentage=0, item_name='Baby Care Travel Pack With Shampoo, Lotion, Powder And Bath', item_link='https://minutes.noon.com/saudi-en/now-product/Z6A8F26DBBD3031301E99Z-1')
Product(original_price=120.0, new_price=51.0, offer_percentage=0, item_name='AHA BHA PHA 30 Days Miracle Toner 150ml', item_link='https://minutes.noon.com/saudi-en/now-product/Z8E925367BDED896353FFZ-1')
Product(original_price=699.0, new_price=348.0, offer_percentage=0, item_name='Power Bank, 24,000mAh 3-Port Portable Charger with 140W Output, 737 (PowerCore 24K), Smart Digital Display, Compatible with iPhone 13 Series, Samsung, Dell, AirPods, and More', item_link='https://minutes.noon.com/saudi-en/now-product/Z3A5051E2315DABADF257Z-1')
